bookid,title,year,personid
1,Outliers : the story of success,2008,1
2,Talking to strangers : What We Should Know about the People We Don't Know,2019,1
3,Recherches sur les substances radioactives,1903,2
4,Pride and Prejudice,1813,3
5,Sense and Sensibility,1811,3
6,Emma,1815,3
7,Wuthering Heights,1847,4
8,Little Women,1868,5
9,An Old Fashioned Girl,1870,5
10,Rosa Parks: My Story,1992,6
11,The Color Purple,1982,7
12,To Hell With Dying,1988,7
13,We need to hang out : A memoir of making friends,2021,8
14,The death of a President : November 20 - November 25 1963,1967,9
15,The Last Lion: Winston Spencer Churchill: Visions of Glory 1874–1932,1983,9
16,The Last Lion: Winston Spencer Churchill: Alone 1932–1940,1988,9
17,The Last Lion: Winston Spencer Churchill: Defender of the Realm 1940–1965,2012,9
18,"Rabbit, Run",1960,10
19,Rabbit Redux,1971,10
20,Rabbit at Rest,1990,10
